"solar_year","gregorian_year","province_code","province_name_eng","district_code","district_number","district_name_eng","rural_fem","rural_male","rural_total","urban_fem","urban_male","urban_total","fem_population","male_population","total_population","units"
1383,"2004-2005","01","Kabul","0101",1,"Provincial center (Kabul )",NA,NA,NA,1174900,1260500,2435400,1174900,1260500,2435400,"thousands"
1383,"2004-2005","01","Kabul","0102",2,"Dah sabz",22400,23600,46000,NA,NA,NA,22400,23600,46000,"thousands"
1383,"2004-2005","01","Kabul","0103",3,"Mirbachakot",22000,22500,44500,NA,NA,NA,22000,22500,44500,"thousands"
1383,"2004-2005","01","Kabul","0104",4,"Kalakan",12600,13200,25800,NA,NA,NA,12600,13200,25800,"thousands"
1383,"2004-2005","01","Kabul","0105",5,"Qarabagh",31900,33100,65000,NA,NA,NA,31900,33100,65000,"thousands"
1383,"2004-2005","01","Kabul","0106",6,"Farza",8900,9400,18300,NA,NA,NA,8900,9400,18300,"thousands"
1383,"2004-2005","01","Kabul","0107",7,"Estalef",14000,14600,28600,NA,NA,NA,14000,14600,28600,"thousands"
1383,"2004-2005","01","Kabul","0108",8,"Guldara",9500,10000,19500,NA,NA,NA,9500,10000,19500,"thousands"
1383,"2004-2005","01","Kabul","0109",9,"Shaker Darah",34400,35600,70000,NA,NA,NA,34400,35600,70000,"thousands"
1383,"2004-2005","01","Kabul","0110",10,"Paghman",41600,43900,85500,8100,8800,16900,49700,52700,102400,"thousands"
1383,"2004-2005","01","Kabul","0111",11,"Char Asiab",15000,16200,31200,NA,NA,NA,15000,16200,31200,"thousands"
1383,"2004-2005","01","Kabul","0112",12,"Musahi",9700,10200,19900,NA,NA,NA,9700,10200,19900,"thousands"
1383,"2004-2005","01","Kabul","0113",13,"Khak –i- jabar",5900,6300,12200,NA,NA,NA,5900,6300,12200,"thousands"
1383,"2004-2005","01","Kabul","0114",14,"Bagrami",23000,24200,47200,NA,NA,NA,23000,24200,47200,"thousands"
1383,"2004-2005","01","Kabul","0115",15,"Surubi",23200,24000,47200,NA,NA,NA,23200,24000,47200,"thousands"
1383,"2004-2005","02","Kapisa","0201",1,"Provincial Center (Mahmood Raqi)",26500,26900,53400,500,700,1200,27000,27600,54600,"thousands"
1383,"2004-2005","02","Kapisa","0202",2,"Duwum-i- Kohistan",18900,19400,38300,NA,NA,NA,18900,19400,38300,"thousands"
1383,"2004-2005","02","Kapisa","0203",3,"Kohistan",28700,29200,57900,NA,NA,NA,28700,29200,57900,"thousands"
1383,"2004-2005","02","Kapisa","0204",4,"Najrab",47300,48300,95600,NA,NA,NA,47300,48300,95600,"thousands"
1383,"2004-2005","02","Kapisa","0205",5,"Koh Band",10000,10000,20000,NA,NA,NA,10000,10000,20000,"thousands"
1383,"2004-2005","02","Kapisa","0206",6,"Tagab",34400,34400,68800,NA,NA,NA,34400,34400,68800,"thousands"
1383,"2004-2005","02","Kapisa","0207",7,"Alasai",15700,16500,32200,NA,NA,NA,15700,16500,32200,"thousands"
1383,"2004-2005","03","Parwan","0301",1,"Provincial Center (Charikar)",50300,52300,102600,22100,22600,44700,72400,74900,147300,"thousands"
1383,"2004-2005","03","Parwan","0302",2,"Saidkheil",19000,19800,38800,NA,NA,NA,19000,19800,38800,"thousands"
1383,"2004-2005","03","Parwan","0303",3,"Jabull saraj",26100,26800,52900,700,700,1400,26800,27500,54300,"thousands"
1383,"2004-2005","03","Parwan","0304",4,"Salang",11000,11100,22100,NA,NA,NA,11000,11100,22100,"thousands"
1383,"2004-2005","03","Parwan","0305",5,"Shinwari",17300,17700,35000,NA,NA,NA,17300,17700,35000,"thousands"
1383,"2004-2005","03","Parwan","0306",6,"Ghurband",41200,41100,82300,NA,NA,NA,41200,41100,82300,"thousands"
1383,"2004-2005","03","Parwan","0307",7,"Bagram",43700,44500,88200,NA,NA,NA,43700,44500,88200,"thousands"
1383,"2004-2005","03","Parwan","0308",8,"Shikh  Ali",10300,10700,21000,NA,NA,NA,10300,10700,21000,"thousands"
1383,"2004-2005","03","Parwan","0309",9,"Surkhi  parsa",17100,17700,34800,NA,NA,NA,17100,17700,34800,"thousands"
